model,test_score_mean,test_score_std,fit_time_mean,fit_time_std,score_time_mean,score_time_std,parameter_num,hidden_layer_sizes,activation_function,learning_rate,num_iter
"MLP-relu-0.0001-(5,)",0.9470872927496062,0.03318620307383498,2.4978408813476562,0.3843603330588489,0.0025634765625,0.00026186965959182525,167,"(5,)",relu,0.0001,292.0
"MLP-relu-0.0001-(32,)",0.9554967936964207,0.02063734130803352,2.4713747024536135,0.31537220020701523,0.002564239501953125,0.00025558317774693575,1058,"(32,)",relu,0.0001,239.0
"MLP-relu-0.0001-(16, 16)",0.9015430609180608,0.0636184116052161,2.6375118255615235,0.4093687536685639,0.0023485660552978516,0.0001523464199590244,802,"(16, 16)",relu,0.0001,209.8
"MLP-relu-0.0001-(10, 5, 5)",0.9024064686845193,0.05298918280671438,3.567495822906494,0.43455622133605826,0.002522850036621094,0.00032194008130013844,407,"(10, 5, 5)",relu,0.0001,218.8
"MLP-relu-0.0001-(16, 8, 8)",0.9015430609180608,0.0636184116052161,3.367570972442627,0.4637569617140865,0.0023275375366210937,0.00025974369167948473,722,"(16, 8, 8)",relu,0.0001,199.6
"MLP-relu-0.0001-(64, 32, 32)",0.7865184958475748,0.15648923847346022,1.913227653503418,1.5788844089469523,0.003110790252685547,0.0006497516970849356,5186,"(64, 32, 32)",relu,0.0001,79.8
"MLP-relu-0.001-(5,)",0.9733320060525943,0.025936222114051857,1.1983979225158692,0.14531875788868462,0.002577352523803711,0.00040087894152454997,167,"(5,)",relu,0.001,91.2
"MLP-relu-0.001-(32,)",0.9734477124183007,0.021699887010698297,1.3482227802276612,0.13097826768876908,0.004112672805786133,0.0023679903203006557,1058,"(32,)",relu,0.001,92.0
"MLP-relu-0.001-(16, 16)",0.96904200176259,0.022748462539303512,1.2327629566192626,0.3537696542348798,0.0022230625152587892,0.00023230096933992008,802,"(16, 16)",relu,0.001,95.8
"MLP-relu-0.001-(10, 5, 5)",0.9646463973669857,0.017961616676952473,1.7811378479003905,0.13507666238072333,0.0022477626800537108,0.00017189568846686293,407,"(10, 5, 5)",relu,0.001,104.0
"MLP-relu-0.001-(16, 8, 8)",0.9735482593938476,0.0168373286277927,1.6483799934387207,0.3331900428288526,0.0024105072021484374,0.0003073029442209927,722,"(16, 8, 8)",relu,0.001,99.8
"MLP-relu-0.001-(64, 32, 32)",0.4208501525574696,0.0378925262204722,0.02053389549255371,0.00507713321699219,0.0027272701263427734,0.0007629025867614878,5186,"(64, 32, 32)",relu,0.001,0.2
"MLP-relu-0.01-(5,)",0.9778382636838518,0.02000067438432277,0.2200632095336914,0.08237949709629044,0.002631521224975586,0.0008330720801309606,167,"(5,)",relu,0.01,25.6
"MLP-relu-0.01-(32,)",0.9734477124183007,0.021699887010698297,0.2516110897064209,0.093063118869153,0.0021677494049072267,0.00018155992926418416,1058,"(32,)",relu,0.01,25.0
"MLP-relu-0.01-(16, 16)",0.5086109112894314,0.21306036328934938,0.09662456512451172,0.053451402876424234,0.0030449867248535157,0.0006866697399843857,802,"(16, 16)",relu,0.01,5.0
"MLP-relu-0.01-(10, 5, 5)",0.808443180152621,0.053014983294921714,0.04596796035766602,0.012060836580899388,0.0026809215545654298,0.0006049377200416162,407,"(10, 5, 5)",relu,0.01,1.4
"MLP-relu-0.01-(16, 8, 8)",0.3917131942403761,0.002938583602703515,0.014842033386230469,0.004746336600079717,0.002396821975708008,0.00041439319176250246,722,"(16, 8, 8)",relu,0.01,0.0
"MLP-relu-0.01-(64, 32, 32)",0.4208501525574696,0.0378925262204722,0.0076488018035888675,0.001272016049564586,0.0032062530517578125,0.0003560211966530826,5186,"(64, 32, 32)",relu,0.01,0.0
"MLP-relu-0.1-(5,)",0.8814887892093776,0.08126201907146968,0.06545495986938477,0.042695906199971205,0.0027312755584716795,0.0007768087306012287,167,"(5,)",relu,0.1,6.0
"MLP-relu-0.1-(32,)",0.35074071268364926,0.015110325839051822,0.023587751388549804,0.008152313129929152,0.0030458927154541015,0.0005069779802351546,1058,"(32,)",relu,0.1,1.0
"MLP-relu-0.1-(16, 16)",0.4016975046097956,0.023474020285836616,0.005244255065917969,0.0005136396376774966,0.003236818313598633,0.0008015143920233324,802,"(16, 16)",relu,0.1,0.0
"MLP-relu-0.1-(10, 5, 5)",0.808443180152621,0.053014983294921714,0.006034040451049804,0.000766876680039924,0.0034517765045166014,0.0005973476968786034,407,"(10, 5, 5)",relu,0.1,0.0
"MLP-relu-0.1-(16, 8, 8)",0.3917131942403761,0.002938583602703515,0.005391311645507812,0.0005775619566440739,0.003071451187133789,0.0005217966209011944,722,"(16, 8, 8)",relu,0.1,0.0
"MLP-relu-0.1-(64, 32, 32)",0.4208501525574696,0.0378925262204722,0.005704402923583984,0.0008169810240061517,0.0032153606414794924,0.0003842374236335969,5186,"(64, 32, 32)",relu,0.1,0.0
"MLP-relu-0.5-(5,)",0.8423964405582053,0.04713416160712383,0.0062519550323486325,0.0009694141128908178,0.0036185741424560546,0.000671252706683233,167,"(5,)",relu,0.5,0.0
"MLP-relu-0.5-(32,)",0.35074071268364926,0.015110325839051822,0.00659942626953125,0.0014379402784072258,0.00296630859375,0.0003663778111116552,1058,"(32,)",relu,0.5,0.0
"MLP-relu-0.5-(16, 16)",0.4016975046097956,0.023474020285836616,0.0055124759674072266,0.0010614499998131681,0.0030280113220214843,0.00042667136321601206,802,"(16, 16)",relu,0.5,0.0
"MLP-relu-0.5-(10, 5, 5)",0.808443180152621,0.053014983294921714,0.005947399139404297,0.0003812880500663939,0.0029682159423828126,0.0003590513383192572,407,"(10, 5, 5)",relu,0.5,0.0
"MLP-relu-0.5-(16, 8, 8)",0.3917131942403761,0.002938583602703515,0.004481458663940429,0.0004476958943838947,0.0025855064392089843,0.0003592628173098537,722,"(16, 8, 8)",relu,0.5,0.0
"MLP-relu-0.5-(64, 32, 32)",0.4208501525574696,0.0378925262204722,0.0051915645599365234,0.001306655218581763,0.0029307842254638673,0.0006030132663621794,5186,"(64, 32, 32)",relu,0.5,0.0
"MLP-sigmoid-0.0001-(5,)",0.9189227789508294,0.05417921593581042,2.4751704216003416,0.5347708538805033,0.0023928165435791017,0.0004686662943724529,167,"(5,)",sigmoid,0.0001,233.2
"MLP-sigmoid-0.0001-(32,)",0.9734426592882475,0.016807256668099044,2.079755115509033,0.3193704372382417,0.00241999626159668,0.0002865446326996099,1058,"(32,)",sigmoid,0.0001,186.2
"MLP-sigmoid-0.0001-(16, 16)",0.5504957175774965,0.19723649284242575,3.240935516357422,2.4178732872786886,0.0023223876953125,0.000220149286757518,802,"(16, 16)",sigmoid,0.0001,243.8
"MLP-sigmoid-0.0001-(10, 5, 5)",0.3917131942403761,0.002938583602703515,0.2230058193206787,0.06919360094874959,0.002472257614135742,0.0005190177325924704,407,"(10, 5, 5)",sigmoid,0.0001,11.0
"MLP-sigmoid-0.0001-(16, 8, 8)",0.3917131942403761,0.002938583602703515,1.0672923088073731,0.14428483377770643,0.0022921085357666014,0.00011507537921828036,722,"(16, 8, 8)",sigmoid,0.0001,47.0
"MLP-sigmoid-0.0001-(64, 32, 32)",0.3917131942403761,0.002938583602703515,0.7903063774108887,0.20452734360549793,0.002974843978881836,0.000781721485301582,5186,"(64, 32, 32)",sigmoid,0.0001,31.8
"MLP-sigmoid-0.001-(5,)",0.9740176354643545,0.016009080023104097,1.0933639049530028,0.30804855275789045,0.002475404739379883,0.000160899130567396,167,"(5,)",sigmoid,0.001,101.2
"MLP-sigmoid-0.001-(32,)",0.9821232148438032,0.01707151285332411,0.7256521701812744,0.23353908071022905,0.0023371696472167967,0.00011408575896378982,1058,"(32,)",sigmoid,0.001,65.2
"MLP-sigmoid-0.001-(16, 16)",0.9693492993375022,0.017663993309558364,2.5264201164245605,0.35837644914838224,0.0026214122772216797,0.0006042956195934443,802,"(16, 16)",sigmoid,0.001,158.2
"MLP-sigmoid-0.001-(10, 5, 5)",0.3917131942403761,0.002938583602703515,0.3980900764465332,0.058008798733608806,0.002101755142211914,0.0001318192671516881,407,"(10, 5, 5)",sigmoid,0.001,17.0
"MLP-sigmoid-0.001-(16, 8, 8)",0.3917131942403761,0.002938583602703515,0.5705257892608643,0.13287278584241885,0.0023534297943115234,0.0001258491515616073,722,"(16, 8, 8)",sigmoid,0.001,25.8
"MLP-sigmoid-0.001-(64, 32, 32)",0.9599665316577081,0.03053550461886541,4.5800927639007565,0.9725668082194925,0.0025876045227050783,0.0006597342775534897,5186,"(64, 32, 32)",sigmoid,0.001,206.6
"MLP-sigmoid-0.01-(5,)",0.9782165955206998,0.013731908280127011,0.3734748363494873,0.12470259678915344,0.0022529125213623046,0.00016445066280978897,167,"(5,)",sigmoid,0.01,29.4
"MLP-sigmoid-0.01-(32,)",0.9736342504974533,0.016618538749209537,0.28531932830810547,0.0943592984227183,0.0028521537780761717,0.0006604006726727967,1058,"(32,)",sigmoid,0.01,20.8
"MLP-sigmoid-0.01-(16, 16)",0.9651503392811568,0.017472125023888445,0.519075584411621,0.12938711008243542,0.002471446990966797,0.00017179523653063696,802,"(16, 16)",sigmoid,0.01,32.2
"MLP-sigmoid-0.01-(10, 5, 5)",0.9740176354643545,0.016009080023104097,1.2828707218170166,0.20825414263001119,0.0023252010345458985,0.0002889467382553186,407,"(10, 5, 5)",sigmoid,0.01,68.0
"MLP-sigmoid-0.01-(16, 8, 8)",0.9651503392811568,0.017472125023888445,0.9925186634063721,0.2170448691174512,0.0023279190063476562,0.0005973699181550042,722,"(16, 8, 8)",sigmoid,0.01,50.4
"MLP-sigmoid-0.01-(64, 32, 32)",0.9730041947126449,0.026898790924629126,0.7908587455749512,0.30362226612511944,0.0022571563720703127,0.00021576000954383697,5186,"(64, 32, 32)",sigmoid,0.01,37.6
"MLP-sigmoid-0.1-(5,)",0.9569821397027279,0.029680769014860536,0.1783130645751953,0.056492837757712695,0.0022687435150146483,0.00024030565183877497,167,"(5,)",sigmoid,0.1,13.4
"MLP-sigmoid-0.1-(32,)",0.9649587480719509,0.017559393889918853,0.15903148651123047,0.07923035494031132,0.0022681713104248046,0.0001818271810227252,1058,"(32,)",sigmoid,0.1,14.6
"MLP-sigmoid-0.1-(16, 16)",0.9651503392811568,0.017472125023888445,0.20624589920043945,0.04197464492019283,0.0023149967193603514,0.000234485534342514,802,"(16, 16)",sigmoid,0.1,13.8
"MLP-sigmoid-0.1-(10, 5, 5)",0.9569821397027279,0.029680769014860536,0.3471842288970947,0.11462354338189971,0.0024529457092285155,0.0004711092869402312,407,"(10, 5, 5)",sigmoid,0.1,18.0
"MLP-sigmoid-0.1-(16, 8, 8)",0.9610289631483135,0.02087637776079094,0.3081235885620117,0.07560237222887525,0.00228118896484375,0.00015157805008387824,722,"(16, 8, 8)",sigmoid,0.1,16.6
"MLP-sigmoid-0.1-(64, 32, 32)",0.9691577081282963,0.01779558339139961,0.3447762966156006,0.1348382273303596,0.0022588253021240236,0.0001232152568285868,5186,"(64, 32, 32)",sigmoid,0.1,15.2
"MLP-sigmoid-0.5-(5,)",0.9610289631483135,0.02087637776079094,0.16325044631958008,0.03146180599110942,0.0024748325347900392,0.0006129702701837939,167,"(5,)",sigmoid,0.5,12.4
"MLP-sigmoid-0.5-(32,)",0.9249965126068691,0.05202806508054397,0.16925492286682128,0.04538752451934988,0.0020670413970947264,6.972777878519573e-05,1058,"(32,)",sigmoid,0.5,12.4
"MLP-sigmoid-0.5-(16, 16)",0.9693492993375022,0.017663993309558364,0.2611836910247803,0.03689749539660079,0.0029496669769287108,0.00040666923339900403,802,"(16, 16)",sigmoid,0.5,12.6
"MLP-sigmoid-0.5-(10, 5, 5)",0.3917131942403761,0.002938583602703515,0.2623919486999512,0.04769224592744383,0.002155017852783203,0.00015419032183195628,407,"(10, 5, 5)",sigmoid,0.5,11.0
"MLP-sigmoid-0.5-(16, 8, 8)",0.8692359358540648,0.2396988951549665,0.3195811748504639,0.07510631481818787,0.0024185657501220705,0.0004052153473088571,722,"(16, 8, 8)",sigmoid,0.5,15.6
"MLP-sigmoid-0.5-(64, 32, 32)",0.3917131942403761,0.002938583602703515,0.6645573616027832,0.15172531727363112,0.0022577285766601563,8.124143781624977e-05,5186,"(64, 32, 32)",sigmoid,0.5,30.2
