,bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length,run
0,SlavicGrandmaTextil,2,102,0.9,0.05,0.018394431,40000,40000,normal,30,18,1
1,SlavicGrandmaTextil,2,102,0.95,0.05,0.018394431,40000,40000,normal,32,18,1
2,SlavicGrandmaTextil,2,102,0.98,0.05,0.018394431,40000,40000,normal,38,18,1
3,SlavicGrandmaTextil,2,1000,1.0,0.05,0.018394431,40000,40000,normal,90,18,1
4,SlavicGrandmaTextil,2,114,0.9,0.05,0.018394431,40000,40000,normal,31,18,3
5,SlavicGrandmaTextil,2,102,0.95,0.05,0.018394431,40000,40000,normal,28,18,3
6,SlavicGrandmaTextil,2,102,0.98,0.05,0.018394431,40000,40000,normal,31,18,3
7,SlavicGrandmaTextil,2,1000,1.0,0.05,0.018394431,40000,40000,normal,83,18,3
0,SlavicGrandmaTextil,2,102,0.9,0.05,0.018394431,40000,40000,normal,28,18,2
1,SlavicGrandmaTextil,2,102,0.95,0.05,0.018394431,40000,40000,normal,30,18,2
2,SlavicGrandmaTextil,2,103,0.98,0.05,0.018394431,40000,40000,normal,27,18,2
3,SlavicGrandmaTextil,2,1000,1.0,0.05,0.018394431,40000,40000,normal,89,18,2
